,Keyword,Search Volume,Keyword Difficulty Index
0,freeporn,5000000,65.21
1,youporn,11100000,68.4
2,pornmd,7480000,79.14
3,pornhu,165000,74.77
4,porno,9140000,73.79
5,hentai,2240000,73.81
6,porbhub,165000,71.96
7,gayporn,165000,65.69
8,porntube,1500000,59.14
9,footjob,135000,77.45
10,bangbros,1220000,76.36
11,pornhb,74000,72.16
12,potnhub,74000,66.18
13,tits,823000,79.13
14,brazzers,1830000,67.88
15,pornohub,110000,66.08
16,bbw,673000,72.81
17,xnnx,673000,77.6
18,chaturbate,4090000,75.43
19,milfs,450000,77.48
20,pornbub,60500,69.95
21,pornub,60500,77.61
22,teensnow,673000,69.61
23,sexpov,49500,75.94
24,pornhud,49500,79.91
25,prnhub,49500,70.91
26,upskirt,165000,70.87
27,shemales,165000,75.41
28,porbhub,165000,71.96
29,mofos,301000,68.23
30,blackporn,135000,71.22
31,xxnx,2740000,63.39
32,cartoonporn,33100,72.24
33,pokeporn,33100,72.09
34,shemales,165000,75.41
35,xart,110000,65.54
36,facesitting,110000,78.93
37,x-art,110000,64.42
38,freesex,246000,67.61
39,uporn,246000,73.99
40,teenporn,135000,61.64
41,mompov,135000,78.23
42,teenpies,90500,72.26
43,pohub,22200,73.63
44,porrnhub,22200,74.03
45,ssbbw,110000,74.62
46,freeporno,110000,71.64
47,faketaxi,74000,68.04
48,pichunter,368000,70.01
49,youporn.com,368000,74.71
50,girlsdoporn,135000,74.38
51,bigtits,135000,65.55
52,mompov,135000,78.23
53,xnxxx,301000,73.67
54,mommysgirl,18100,78.48
55,cam4,823000,68.71
56,downblouse,90500,73.83
57,teenpies,90500,72.26
58,xxxporn,201000,72.67
59,pronhub.com,9900,75.12
60,pornub,60500,77.61
61,freepornvideos,110000,59.62
62,redtube.com,550000,66.23
63,pornhob,14800,72.74
64,mompov,135000,78.23
65,freeporn.com,135000,66.68
66,pichunter,368000,70.01
67,youporn.com,368000,74.71
68,pornhud,49500,79.91
69,prnhub,49500,70.91
70,www.porn,49500,53.71
71,brazzer,201000,67.56
72,gaytube,201000,37.22
73,freeones,1000000,70.19
74,pornuhb,12100,66.91
75,toonporn,12100,71.62
76,thugbait,12100,77.58
77,toonsex,12100,77.91
78,xxxpawn,60500,69.48
79,culioneros,60500,67.77
80,xxxvideo,135000,75.9
81,metart,135000,65.43
82,perfectgirls,673000,73.95
83,pornhug,6600,64.83
84,myfreepaysite,40500,66.76
85,youngleafs,40500,78.16
86,boyztube,40500,68.09
87,pornvideos,74000,68.78
88,hoodhoez,74000,72.53
89,cliphunter,823000,70.46
90,pornhhub,9900,75.21
91,rawblackbj,9900,71.48
92,avhotmom,9900,71.03
93,iphoneporn,9900,79.98
94,fratmen,9900,72.45
95,mommygirl,9900,78.48
96,freeblackporn,49500,61.62
97,3dgspot,49500,68.78
98,babes.com,49500,58.24
99,bryci,49500,78.85
100,blackpussy,49500,67.61
101,lesbea,49500,76.99
102,porñhub,5400,48.57
103,futanaria,33100,67.89
104,iknowthatgirl,33100,79.64
105,exxxtrasmall,33100,68.52
106,pornhu,165000,74.77
107,netvideogirls,60500,76.24
108,teamskeet,60500,67.84
109,brazzers.com,60500,67.65
110,hdporn,135000,70.37
111,cumslut,8100,77.13
112,cmnm,8100,70.48
113,heaven666,8100,78.11
114,dirtydiana377,8100,72.71
115,pornhuvb,8100,64.16
116,ponrhub,8100,74.83
117,eroticax,74000,68.99
118,myfreecam,368000,79.41
119,joymii,40500,78.19
120,freexxx,40500,62.57
121,mobileporn,40500,54.74
122,sexmex,40500,74.03
123,lesbianporn,40500,78.91
124,chaterbate,450000,75.43
